company,ticker
Apple,AAPL
Microsoft,MSFT
Alphabet,GOOGL
Google,GOOGL
Amazon,AMZN
Meta,META
Tesla,TSLA
Nvidia,NVDA
Netflix,NFLX
Intel,INTC
Oracle,ORCL
Salesforce,CRM
Adobe,ADBE
PayPal,PYPL
Disney,DIS
Coca-Cola,KO
PepsiCo,PEP
Walmart,WMT
JPMorgan,JPM
Goldman Sachs,GS
Morgan Stanley,MS
Bank of America,BAC
Visa,V
Mastercard,MA
Home Depot,HD
McDonald's,MCD
Nike,NKE
Starbucks,SBUX
Boeing,BA
General Electric,GE
Ford,F
General Motors,GM
Exxon Mobil,XOM
ExxonMobil,XOM
Suncor Energy,SU
Suncor,SU
Cenovus Energy,CVE
Expand Energy,EXE
Diamondback Energy,FANG
Broadcom,AVGO
Marvell Technology,MRVL
Marvell,MRVL
UBS,UBS
SentinelOne,S
CyberArk,CYBR
Dell Technologies,DELL
Dell,DELL
Chevron,CVX
Pfizer,PFE
Johnson & Johnson,JNJ
UnitedHealth,UNH
AT&T,T
Verizon,VZ
Cisco,CSCO
Qualcomm,QCOM
Uber,UBER
Airbnb,ABNB
Snap,SNAP
Shopify,SHOP
Block,SQ
Coinbase,COIN
Palantir,PLTR
Rivian,RIVN
Lucid,LCID
Nio,NIO
Alibaba,BABA
Taiwan Semiconductor,TSM
CrowdStrike,CRWD
Moderna,MRNA
Snowflake,SNOW
Robinhood,HOOD
O'Reilly Automotive,ORLY
Dick's Sporting Goods,DKS
Gap,GAP
Okta,OKTA
Advanced Micro Devices,AMD
Berkshire Hathaway,BRK.B
ServiceTitan,TTAN
Cytokinetics,CYTK
Alkermes,ALKS
Strive,ASST
Citi,C
Bodycote,BOY
Science Applications International Corporation,SAIC
Lululemon,LULU
Fastly,FSLY
PubMatic,PUBM
Gevo,GEVO
Goldman,GS
Novo Nordisk,NVO
